Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Precip. Amount (mm)
1964,4,9,-27.2125,-32.92083333333333,59.16666666666666,7.421052631578948,10.958333333333334,23.76666666666667,101.0475,,-34.89473684210526,
1964,4,10,-28.066666666666663,-33.40416666666666,60.54166666666666,21.22222222222222,8.708333333333334,24.100000000000005,99.94708333333334,,-36.44444444444444,
1964,4,11,-30.558333333333337,-34.94347826086957,63.30434782608695,16.583333333333332,3.2916666666666665,24.100000000000005,99.88958333333332,,-35.166666666666664,
1964,4,12,-29.2875,-32.32857142857143,66.14285714285714,26.31578947368421,10.958333333333334,20.229166666666668,100.3375,,-36.94736842105263,
1964,4,13,-31.92083333333333,-35.525,61.4,25.526315789473685,5.166666666666667,24.100000000000005,101.75125,,-37.10526315789474,
1964,4,14,-30.3,-32.51764705882353,57.1764705882353,10.238095238095235,6.25,24.100000000000005,102.2475,,-36.61904761904762,
1964,4,15,-24.58333333333333,-28.223809523809525,61.47619047619048,14.727272727272728,6.125,24.100000000000005,102.0275,,-30.772727272727277,
1964,4,16,-17.0625,-21.695833333333336,67.75,10.166666666666666,8.5,26.1125,101.19041666666668,,-22.916666666666668,
1964,4,17,-10.2625,-14.366666666666667,72.20833333333333,18.47826086956522,9.541666666666666,23.295833333333334,99.94416666666666,,-15.869565217391305,
1964,4,18,-15.487500000000002,-19.08333333333333,74.20833333333333,9.125,9.166666666666666,24.100000000000005,99.825,,-21.041666666666668,
1964,4,19,-13.545833333333334,-18.0,69.54166666666667,16.65,5.208333333333333,17.916666666666668,100.4375,,-18.05,
1964,4,20,-8.604166666666666,-12.833333333333334,72.66666666666667,10.833333333333334,9.25,22.70833333333333,99.9975,,-13.041666666666666,
1964,4,21,-12.658333333333331,-16.5,73.16666666666667,25.82608695652174,10.75,18.77916666666667,100.76791666666668,,-18.565217391304348,
