Year,Month,Pv,Klo,TZ,Precipitation (mm), Temperature (degC)
1998,8,1,00:00,UTC,59.1,10.2
1998,9,1,00:00,UTC,73.9,5.4
1998,10,1,00:00,UTC,76,-0.2
1998,11,1,00:00,UTC,16.5,-11.2
1998,12,1,00:00,UTC,24.8,-11.4
1999,1,1,00:00,UTC,21.1,-19.4
1999,2,1,00:00,UTC,20.8,-14.4
1999,3,1,00:00,UTC,32.5,-7.5
1999,4,1,00:00,UTC,23.4,-0.9
1999,5,1,00:00,UTC,15.5,2
1999,6,1,00:00,UTC,33.1,13.4
1999,7,1,00:00,UTC,105.9,14.1
1999,8,1,00:00,UTC,150.7,9.5
1999,9,1,00:00,UTC,55.1,8.4
1999,10,1,00:00,UTC,69.1,2.1
1999,11,1,00:00,UTC,44.7,-3.3
1999,12,1,00:00,UTC,22.7,-14.4
2000,1,1,00:00,UTC,41.4,-11.7
2000,2,1,00:00,UTC,32.9,-10.4
2000,3,1,00:00,UTC,40.1,-6.2
2000,4,1,00:00,UTC,,-1.5
2000,5,1,00:00,UTC,,4.9
2000,6,1,00:00,UTC,,10.2
2000,7,1,00:00,UTC,,14.9
2000,8,1,00:00,UTC,,11.9
2000,9,1,00:00,UTC,,7.3
2000,10,1,00:00,UTC,,4.7
2000,11,1,00:00,UTC,,-1.6
2000,12,1,00:00,UTC,,-11.2
2001,1,1,00:00,UTC,,-6.3
2001,2,1,00:00,UTC,,-15
2001,3,1,00:00,UTC,,-13.2
2001,4,1,00:00,UTC,,-2.6
2001,5,1,00:00,UTC,,3.7
2001,6,1,00:00,UTC,,12.6
2001,7,1,00:00,UTC,,14.1
2001,8,1,00:00,UTC,,11.1
2001,9,1,00:00,UTC,,8.3
2001,10,1,00:00,UTC,,-0.4
2001,11,1,00:00,UTC,,-7.5
2001,12,1,00:00,UTC,,-11.6
2002,1,1,00:00,UTC,,-12.7
2002,2,1,00:00,UTC,,-10.2
2002,3,1,00:00,UTC,,-7.8
2002,4,1,00:00,UTC,,1.8
2002,5,1,00:00,UTC,,6.2
2002,6,1,00:00,UTC,,12
2002,7,1,00:00,UTC,,15
2002,8,1,00:00,UTC,,12.2
2002,9,1,00:00,UTC,,5.1
2002,10,1,00:00,UTC,,-2.1
2002,11,1,00:00,UTC,,-11
2002,12,1,00:00,UTC,,-15.2
2003,1,1,00:00,UTC,,-18.9
2003,2,1,00:00,UTC,,-5.8
2003,3,1,00:00,UTC,,-4.1
2003,4,1,00:00,UTC,,-1.2
2003,5,1,00:00,UTC,,5.9
2003,6,1,00:00,UTC,,9.5
2003,7,1,00:00,UTC,,17.3
2003,8,1,00:00,UTC,,11.4
2003,9,1,00:00,UTC,,6.2
2003,10,1,00:00,UTC,,0.3
2003,11,1,00:00,UTC,,-3.7
2003,12,1,00:00,UTC,,-10.9
2004,1,1,00:00,UTC,,-10.8
2004,2,1,00:00,UTC,,-12.6
2004,3,1,00:00,UTC,,-5.3
2004,4,1,00:00,UTC,,-0.3
2004,5,1,00:00,UTC,,4.9
2004,6,1,00:00,UTC,,9.8
2004,7,1,00:00,UTC,,17.1
2004,8,1,00:00,UTC,,12.2
2004,9,1,00:00,UTC,,7
2004,10,1,00:00,UTC,,0.3
2004,11,1,00:00,UTC,,-7.7
2004,12,1,00:00,UTC,,-6.2
2005,1,1,00:00,UTC,,-8
2005,2,1,00:00,UTC,,-8.7
2005,3,1,00:00,UTC,,-9.2
2005,4,1,00:00,UTC,,-0.3
2005,5,1,00:00,UTC,,3.5
2005,6,1,00:00,UTC,,12.2
2005,7,1,00:00,UTC,,15.5
2005,8,1,00:00,UTC,,12.8
2005,9,1,00:00,UTC,,6.7
2005,10,1,00:00,UTC,,2.2
2005,11,1,00:00,UTC,,-1.7
2005,12,1,00:00,UTC,,-10.5
2006,1,1,00:00,UTC,,-10.1
2006,2,1,00:00,UTC,,-12.9
2006,3,1,00:00,UTC,,-10.6
2006,4,1,00:00,UTC,,1.1
2006,5,1,00:00,UTC,,6
2006,6,1,00:00,UTC,,12.7
2006,7,1,00:00,UTC,,13.7
2006,8,1,00:00,UTC,,13.9
2006,9,1,00:00,UTC,,6.3
2006,10,1,00:00,UTC,,-1.5
2006,11,1,00:00,UTC,,-5.6
2006,12,1,00:00,UTC,,-5
2007,1,1,00:00,UTC,,-13
2007,2,1,00:00,UTC,,-17.4
2007,3,1,00:00,UTC,,-2.1
2007,4,1,00:00,UTC,,-0.3
2007,5,1,00:00,UTC,,4.6
2007,6,1,00:00,UTC,,10.9
2007,7,1,00:00,UTC,,13
2007,8,1,00:00,UTC,,
2007,9,1,00:00,UTC,,5.9
2007,10,1,00:00,UTC,,4.1
2007,11,1,00:00,UTC,,-5.7
2007,12,1,00:00,UTC,,-3.2
2008,1,1,00:00,UTC,,-7.8
2008,2,1,00:00,UTC,,-9.3
2008,3,1,00:00,UTC,,-8.7
2008,4,1,00:00,UTC,,-2.4
2008,5,1,00:00,UTC,,3.6
2008,6,1,00:00,UTC,,9.7
2008,7,1,00:00,UTC,,12.5
2008,8,1,00:00,UTC,,9.7
2008,9,1,00:00,UTC,,5.6
2008,10,1,00:00,UTC,,0.7
2008,11,1,00:00,UTC,,-6.6
2008,12,1,00:00,UTC,,-4.6
2009,1,1,00:00,UTC,,-10.4
2009,2,1,00:00,UTC,,-13.6
2009,3,1,00:00,UTC,,-6.4
2009,4,1,00:00,UTC,,-1.8
2009,5,1,00:00,UTC,,6.6
2009,6,1,00:00,UTC,,
2009,7,1,00:00,UTC,,12.9
2009,8,1,00:00,UTC,,
2009,9,1,00:00,UTC,,8.3
2009,10,1,00:00,UTC,,-1.8
2009,11,1,00:00,UTC,,-2.4
2009,12,1,00:00,UTC,,-11.6
2010,1,1,00:00,UTC,,-13.5
2010,2,1,00:00,UTC,,-17.2
2010,3,1,00:00,UTC,,-9.8
2010,4,1,00:00,UTC,,0.8
2010,5,1,00:00,UTC,,
2010,6,1,00:00,UTC,,9.8
2010,7,1,00:00,UTC,,15
2010,8,1,00:00,UTC,,
2010,9,1,00:00,UTC,,
2010,10,1,00:00,UTC,,1.8
2010,11,1,00:00,UTC,,-11.1
2010,12,1,00:00,UTC,,
